StartDate,LongStock,LongStartPrice,ShortStock,ShortStartPrice,ClosingDate,LongClosingPrice,ShortClosingPrice,Status,GrossProfit,GrossProfitMinusOrderfees,ReturnRate,ReturnRatePA
307,CPT,95.97981262207031,PSA,277.4950561523438,332,107.9662246704102,283.2947692871094,Normally closed,51.99224036978681,49.92557370312014,0.04992557370312014,0.6340969654442064
308,CPT,96.08550262451172,PSA,277.2529907226562,332,107.9662246704102,283.2947692871094,Normally closed,50.92791113617754,48.86124446951087,0.04886124446951087,0.6502107201470506
309,CPT,96.5755386352539,PSA,273.0411682128906,332,107.9662246704102,283.2947692871094,Normally closed,40.19627793021577,38.1296112635491,0.0381296112635491,0.5068179233045209
310,CPT,98.62215423583984,PSA,281.0194091796875,332,107.9662246704102,283.2947692871094,Normally closed,43.32467631649772,41.25800964983105,0.04125800964983105,0.5889966334864372
311,CPT,100.1455383300781,PSA,285.2796630859375,332,107.9662246704102,283.2947692871094,Normally closed,42.52546003785663,40.45879337118996,0.04045879337118996,0.6095283088221572
312,CPT,101.7271347045898,PSA,292.5413818359375,332,107.9662246704102,283.2947692871094,Normally closed,46.46974939573687,44.4030827290702,0.0444030827290702,0.728775613123978
313,CPT,100.7180252075195,PSA,297.9247436523438,332,107.9662246704102,283.2947692871094,Normally closed,60.53577039621366,58.46910372954699,0.05846910372954699,1.124763870703369
314,CPT,100.5045547485352,PSA,298.4669799804688,332,107.9662246704102,283.2947692871094,Normally closed,62.53795344762742,60.47128678096075,0.06047128678096075,1.275017791446312
315,CPT,100.4172286987305,PSA,297.4987182617188,332,107.9662246704102,283.2947692871094,Normally closed,61.4604373049375,59.39377063827083,0.05939377063827083,1.352010882315496
316,CPT,101.455451965332,PSA,300.9165954589844,332,107.9662246704102,283.2947692871094,Normally closed,61.36710457349342,59.30043790682675,0.05930043790682675,1.477716660606535
317,CPT,101.6883392333984,PSA,301.5652770996094,332,107.9662246704102,283.2947692871094,Normally closed,61.16105711800942,59.09439045134275,0.05909439045134274,1.623628975975188
318,CPT,101.4457550048828,PSA,304.072998046875,332,107.9662246704102,283.2947692871094,Normally closed,66.3042298099355,64.23756314326884,0.06423756314326884,2.066863914649796
319,CPT,100.8247604370117,PSA,303.2015991210938,332,107.9662246704102,283.2947692871094,Normally closed,68.24294283030144,66.17627616363478,0.06617627616363478,2.463017975707501
357,PSA,271.1144104003906,CPT,106.5883865356445,383,295.1349182128906,109.6410446166992,Normally closed,29.9797340153132,27.4797340153132,0.0274797340153132,0.3004992414867032
358,PSA,282.59765625,CPT,109.8874435424805,383,295.1349182128906,109.6410446166992,Normally closed,23.30331843334385,20.80331843334385,0.02080331843334385,0.2306543686462592
359,PSA,281.0000305175781,CPT,109.9165496826172,383,295.1349182128906,109.6410446166992,Normally closed,26.40428950587415,23.90428950587415,0.02390428950587415,0.2815138535491302
360,PSA,277.7371520996094,CPT,109.8777313232422,383,295.1349182128906,109.6410446166992,Normally closed,32.39760555078466,29.89760555078466,0.02989760555078466,0.3809510031036822
398,PSA,269.7445373535156,CPT,106.3013763427734,403,280.7323608398438,105.6353988647461,Normally closed,23.49958872406198,19.49958872406198,0.01949958872406198,1.646717370933906
423,CPT,99.65142059326172,PSA,270.6251220703125,454,92.73505401611328,240.0204010009766,Normally closed,21.84169409222081,19.69883694936366,0.01969883694936366,0.1718406066421136
432,CPT,95.92979431152344,PSA,261.1192626953125,454,92.73505401611328,240.0204010009766,Normally closed,23.7493645873939,21.60650744453676,0.02160650744453676,0.2774384919419932
433,CPT,95.68495178222656,PSA,260.8719787597656,454,92.73505401611328,240.0204010009766,Normally closed,24.55051639554108,22.40765925268394,0.02240765925268394,0.3046353190123798
434,CPT,94.4117660522461,PSA,261.0599365234375,454,92.73505401611328,240.0204010009766,Normally closed,31.41658663093326,29.27372948807611,0.02927372948807611,0.4384315236216105
435,CPT,92.92311096191406,PSA,262.1084289550781,454,92.73505401611328,240.0204010009766,Normally closed,41.12339192657839,38.98053478372125,0.03898053478372124,0.6606064347540377
436,CPT,93.65557861328125,PSA,261.416015625,454,92.73505401611328,240.0204010009766,Normally closed,36.00812570479364,33.8652685619365,0.03386526856193649,0.594025423254976
437,CPT,93.61598205566406,PSA,260.6642456054688,454,92.73505401611328,240.0204010009766,Normally closed,34.89352638538537,32.75066924252823,0.03275066924252822,0.6123617420711689
438,CPT,92.10157775878906,PSA,257.9143676757812,454,92.73505401611328,240.0204010009766,Normally closed,38.12875251743024,35.98589537457309,0.03598589537457309,0.7451108631903391
439,CPT,91.56708526611328,PSA,252.9388885498047,454,92.73505401611328,240.0204010009766,Normally closed,31.9144431090193,29.77158596616216,0.02977158596616216,0.6369943981754345
444,CPT,95.3283462524414,PSA,268.5478515625,454,92.73505401611328,240.0204010009766,Normally closed,39.51238353568768,37.36952639283053,0.03736952639283053,1.520715600152921
445,CPT,96.42703247070312,PSA,272.7913818359375,454,92.73505401611328,240.0204010009766,Normally closed,40.92211449462599,38.77925735176884,0.03877925735176884,1.901693453282797
